Run,LibraryName,TaxID,ScientificName,SampleName
SRR7236032,Acerv_BE_13786,6130,Acropora cervicornis,Acerv_BE_13786
SRR7236031,Acerv_BE_13792,6130,Acropora cervicornis,Acerv_BE_13792
SRR7236034,Acerv_BE_13797,6130,Acropora cervicornis,Acerv_BE_13797
SRR7236033,Acerv_BE_13827,6130,Acropora cervicornis,Acerv_BE_13827
SRR7236028,Acerv_BE_13837,6130,Acropora cervicornis,Acerv_BE_13837
SRR7236027,Acerv_BE_8867,6130,Acropora cervicornis,Acerv_BE_8867
SRR7236030,Acerv_CU_13901,6130,Acropora cervicornis,Acerv_CU_13901
SRR7236029,Acerv_CU_13903,6130,Acropora cervicornis,Acerv_CU_13903
SRR7236036,Acerv_CU_13917,6130,Acropora cervicornis,Acerv_CU_13917
SRR7235996,Acerv_CU_13925,6130,Acropora cervicornis,Acerv_CU_13925
SRR7235995,Acerv_FL_14120,6130,Acropora cervicornis,Acerv_FL_14120
SRR7235994,Acerv_FL_4923,6130,Acropora cervicornis,Acerv_FL_4923
SRR7235993,Acerv_FL_4927,6130,Acropora cervicornis,Acerv_FL_4927
SRR7235992,Acerv_FL_4928,6130,Acropora cervicornis,Acerv_FL_4928
SRR7235991,Acerv_FL_4959,6130,Acropora cervicornis,Acerv_FL_4959
SRR7235990,Acerv_FL_4960,6130,Acropora cervicornis,Acerv_FL_4960
SRR7235989,Acerv_VI_13696,6130,Acropora cervicornis,Acerv_VI_13696
SRR7235999,Acerv_VI_13712,6130,Acropora cervicornis,Acerv_VI_13712
SRR7235998,Acerv_VI_13714,6130,Acropora cervicornis,Acerv_VI_13714
SRR7236021,Acerv_VI_13738,6130,Acropora cervicornis,Acerv_VI_13738
SRR7236022,Acerv_VI_13758,6130,Acropora cervicornis,Acerv_VI_13758
SRR7236019,Apalm_BE_13784,6131,Acropora palmata,Apalm_BE_13784
SRR7236020,Apalm_BE_13801,6131,Acropora palmata,Apalm_BE_13801
SRR7236017,Apalm_BE_13813,6131,Acropora palmata,Apalm_BE_13813
SRR7236018,Apalm_BE_13815,6131,Acropora palmata,Apalm_BE_13815
SRR7236015,Apalm_BE_13819,6131,Acropora palmata,Apalm_BE_13819
SRR7236016,Apalm_BE_5993,6131,Acropora palmata,Apalm_BE_5993
SRR7235986,Apalm_CU_13907,6131,Acropora palmata,Apalm_CU_13907
SRR7235985,Apalm_CU_13911,6131,Acropora palmata,Apalm_CU_13911
SRR7235988,Apalm_CU_13919,6131,Acropora palmata,Apalm_CU_13919
SRR7235987,Apalm_CU_13933,6131,Acropora palmata,Apalm_CU_13933
SRR7235982,Apalm_CU_13939,6131,Acropora palmata,Apalm_CU_13939
SRR7235981,Apalm_CU_3070,6131,Acropora palmata,Apalm_CU_3070
SRR7235984,Apalm_CU_3071,6131,Acropora palmata,Apalm_CU_3071
SRR7235983,Apalm_FL_1012,6131,Acropora palmata,Apalm_FL_1012
SRR7235980,Apalm_FL_1037,6131,Acropora palmata,Apalm_FL_1037
SRR7235979,Apalm_FL_2655,6131,Acropora palmata,Apalm_FL_2655
SRR7236011,Apalm_FL_2699,6131,Acropora palmata,Apalm_FL_2699
SRR7236012,Apalm_FL_5524,6131,Acropora palmata,Apalm_FL_5524
SRR7236001,Apalm_FL_6895,6131,Acropora palmata,Apalm_FL_6895
SRR7236003,Apalm_VI_13702,6131,Acropora palmata,Apalm_VI_13702
SRR7236007,Apalm_VI_13740,6131,Acropora palmata,Apalm_VI_13740
SRR7236008,Apalm_VI_13744,6131,Acropora palmata,Apalm_VI_13744
SRR7236009,Apalm_VI_13750,6131,Acropora palmata,Apalm_VI_13750
SRR7236010,Apalm_VI_13752,6131,Acropora palmata,Apalm_VI_13752
SRR7236002,Apalm_VI_4062,6131,Acropora palmata,Apalm_VI_4062
SRR7236023,Aprol_BA_1667,127871,Acropora prolifera,Aprol_BA_1667
SRR7236035,Aprol_BE_13778,127871,Acropora prolifera,Aprol_BE_13778
SRR7236025,Apalm_BE_13799,127871,Acropora prolifera,Aprol_BE_13799
SRR7236006,Aprol_BE_13807,127871,Acropora prolifera,Aprol_BE_13807
SRR7236013,Aprol_BE_6779,6131,Acropora palmata,Aprol_BE_6779
SRR7236014,Aprol_BE_6791,6131,Acropora palmata,Aprol_BE_6791
SRR7236004,Aprol_BE_8939,127871,Acropora prolifera,Aprol_BE_8939
SRR7236026,Aprol_CU_13913,127871,Acropora prolifera,Aprol_CU_13913
SRR7236024,Aprol_FL_1302,127871,Acropora prolifera,Aprol_FL_1302
SRR7236005,Aprol_FL_1303,127871,Acropora prolifera,Aprol_FL_1303
SRR7235997,Aprol_VI_13764,127871,Acropora prolifera,Aprol_VI_13764
SRR7235978,Aprol_VI_1834,127871,Acropora prolifera,Aprol_VI_1834
SRR7235977,Aprol_VI_1835,127871,Acropora prolifera,Aprol_VI_1835
SRR7236000,Aprol_VI_1837,127871,Acropora prolifera,Aprol_VI_1837